Cartera,Sharpe,fondos_ISIN
Cartera Final para la competición,11.519821,"{CSIF (LUX) EQUITY CAN ""FB"" (EUR): (LU1419771487, 25%), GVC GAESCO OPOR EMP INMOB RV ""I"" (EUR): (ES0143628024, 30%), JPM ASEAN EQUITY ""A"" ACC: (LU0441851309, 30%), SUSTAINABLE GLOBAL E ""A"" (EUR): (ISIN no encontrado, 5%)}"
M-Sharpe,9.937189,"{BNP PARIBAS INSTICASH ""C"" (USD) A: (LU0167238863, 1%), PIMCO US SHORT TERM ""INV"" (USD): (IE00BMTRWZ44, 9%), SYCOMORE PARTNERS ""IB"" ACC: (FR0012365013, 90%)}"
"Dios, familia y fe",9.455827,"{AEGON EUROPEAN ABS ""I"" (EUR): (IE00BZ005F46, 4.5%), AXA WF EURO CRED TOTAL RETURN ""A"" (EUR): (LU1164219682, 4.5%), BSF BLACKROCK SYSTEM ""D"" (EURHDG): (LU1593227850, 18%), DWS GOLD AND PREC MET ""TFC"" (EUR) ACC: (LU1663932132, 33%), FIDELITY MSCI WORLD I ""P"" (EUR): (IE00BYX5NX33, 25%), GROUPAMA TRESORERIE ""M: (ISIN no encontrado, 1%), OKAVANGO DELTA FI ""I: (ISIN no encontrado, 9%), TEMPLETON EUROLAND ""W"" (USDHDG): (LU1992939667, 5%)}"
Competición UAM,7.415548,"{AEGON EUROPEAN ABS ""I"" (EUR): (IE00BZ005F46, 9%), GVC GAESCO OPOR EMP INMOB RV ""I"" (EUR): (ES0143628024, 20%), JAMS JUPITER GOLD & SILVER ""L"" (EUR) A: (IE00BYVJR916, 25%), JPM US TECHNOLOGY ""C"" (EUR): (LU1303370156, 20%), PANDA AGRICULTURE & WATER: (ES0114633003, 6%), ROBECO INDIAN EQ ""F"" (EUR): (ISIN no encontrado, 20%)}"
AFJAE Tiki Taki,7.175668,"{BNP PARIBAS INSTICASH ""C"" (USD) A: (LU0167238863, 1%), CARMIGNAC PORTFOLIO F ""A"" (USDHDG): (LU0807689749, 9%), FIDELITY GLOBAL TECHNOLOGY ""Y: (ISIN no encontrado, 15%), FIDELITY MSCI WORLD I ""P"" (EUR): (IE00BYX5NX33, 20%), FRANKLIN GOLD&PREC METAL ""A"" (EUR): (LU0496367763, 40%), VANGUARD EM STOCK IND (EUR) ACC: (IE0031786696, 15%)}"
Catera de Prueba,6.988168,"{JANUS HENDERSON GLOB ""A2"" (EURHDG) F: (ISIN no encontrado, 91%), NORDEA 1 LOW DUR EU COV ""BC"" (EUR) ACC: (LU1694214120, 9%)}"
Cartera Modelo1,6.954033,"{ATHENEE FCP - ACACIA ""I"" (EUR): (ISIN no encontrado, 91%), JANUS HENDERSON GLOB ""A2"" (USD) G: (ISIN no encontrado, 9%)}"
Gold & Sacks,6.02568,"{ABRDN LIQUIDITY FUND ""I2"" (GBP) A: (LU0108940692, 1%), AQR APEX UCITS ""B1"" (EURHDG): (ISIN no encontrado, 8%), BGF DYNAMIC HIGH INCO ""A2"" (USD): (LU1564329032, 2%), BLUEBAY INVESTMENT GR AR BD ""C"" (EUR): (LU0842207952, 7.4%), CARMIGNAC PORTFOLIO P ""F"" (EUR): (LU1744630424, 4.7%), CS (LUX) PFOLIO FUND YIELD (CHF) ""A""INC: (LU0078042610, 5.5%), FON FINECO GESTION FI (EUR): (ES0138382033, 6.2%), GVC GAESCO SOSTENIBLE ISR, FI ""R"" (EUR): (ISIN no encontrado, 0.5%), JAMS JUPITER GOLD & SILVER ""L"" (EUR) A: (IE00BYVJR916, 9.4%), JAN HEN GLB FINS ""A"" (GBP) INC: (GB00B4JVX467, 4.5%), JANUS HENDERSON GLOB ""A2"" (EURHDG) F: (ISIN no encontrado, 2.5%), JPM ASEAN EQUITY ""C"" (EUR) ACC: (LU0441853008, 3.5%), JPM INCOME OPP ""C PERF"" (USD) INC: (LU0900828848, 2.2%), MAN GLG HIGH YIELD O ""IH"" (USDHDG): (ISIN no encontrado, 2.7%), MFS MERIDIAN PRUDENT ""I1"" (EUR): (LU1442550114, 7.5%), PICTET CHINA INDEX ""I"" (EUR): (LU0625737753, 9%), POLAR CAPITAL FINANC ""R"" (EUR): (IE00BY7RTK46, 5.2%), SHORT-DATED GLOBAL HIGH YIELD BOND ""I"" (: (ISIN no encontrado, 1.5%), UBS (LU) K SE S-CHINA ALL OPP (USD) ""P""D: (LU1226288253, 16.7%)}"
Smith 1,5.818492,"{BSF BLACKROCK SYSTEM ""D"" (EURHDG): (LU1593227850, 25%), CT REAL ESTATE EQUITY ""C"" (GBPHDG): (IE00B8GGKQ36, 10%), DWS INVEST GOLD AND PREC MET ""FC"" ACC: (LU0273148212, 10%), FON FINECO INVERSION (EUR): (ES0137396000, 10%), GROUPAMA ENTREPRISES ""M: (ISIN no encontrado, 1%), JPM GLB GOVT SHORT DUR BD ""A"" (USDHDG): (LU0408876521, 9%), LAZARD RATHMORE ALTERNATIVE ""A"" (USD): (IE00BG1V1444, 25%), LIONTRUST GF EUR STRT EQ ""A3"" (EUR): (IE00BYXV8M50, 10%)}"
Pickpokets,5.776873,"{DWS INVEST AFRICA ""LC"" (EUR) ACC: (LU0329759764, 10%), LAZARD RATHMORE ALTERNATIVE ""A"" (USD): (IE00BG1V1444, 30%), MAGALLANES IBERIAN EQ  ""M"" (EUR): (ES0159201013, 15%), META FINANZAS, FI ""I"" (EUR): (ES0162382008, 15%), PRIVILEDGE FIDELITY T ""R"" (EURHDG): (ISIN no encontrado, 10%), ROBECO INDIAN EQ ""F"" (EUR): (ISIN no encontrado, 20%), SIGMA INTERNACIONAL,FI ""A"" (EUR): (ES0175902008, 10%)}"
GLOBAL INVEST,5.426948,"{AMUNDI INDEX MSCI EM ""IE"" (EUR) ACC: (LU0996175948, 25%), EUROPEAN GROWTH PORTF ""A"" (EUR): (ISIN no encontrado, 20%), MFS MERIDIAN FUNDS CO ""I1"" (EUR): (ISIN no encontrado, 10%), NTY ONE GSF GLB GOLD ""A"" (USD) A: (ISIN no encontrado, 35%), PICTET CHINA INDEX ""I"" (EUR): (LU0625737753, 10%)}"
flareqom,5.301123,"{DUNAS VALOR PRUDENTE ""I"" (EUR): (ES0175437039, 8%), MAGALLANES IBERIAN EQ  ""M"" (EUR): (ES0159201013, 32%), POLAR CAP JAPAN ALPHA ""R"" (EURHDG) D: (IE00B7G7VV19, 30%), SUSTAINABLE GLOBAL E ""Y"" (EUR): (ISIN no encontrado, 30%)}"
The Mavericks,4.565162,"{BNP PARIBAS INSTICAS ""P"" (EUR) A: (LU0423950053, 0.3%), CARTESIO FUNDS INCOME ""Z"" (EUR): (LU1966823095, 25%), DWS INVEST GOLD AND PREC MET ""LC"" (USD): (LU0273165570, 9%), GOLDMAN SACHS GLOBAL ""I"" (USD) A: (LU1032466952, 32%), GROUPAMA TRESORERIE ""M: (ISIN no encontrado, 0.7%), GS EMERGING MARKETS S ""I"" (EURHDG) A: (LU1891074806, 1%), JAMS JUPITER GOLD & SILVER ""L"" (EUR) A: (IE00BYVJR916, 17%), NEUBERGER BERMAN ULT ""I"" (EUR): (ISIN no encontrado, 8%), SANTANDER DIVIDENDO EUROPA ""A: (ISIN no encontrado, 7%)}"
uno,4.326599,"{AMUNDI FUNDS ABSOLUTE ""AE"" (EUR): (LU0568619638, 74.87%), BNP PARIBAS INSTICAS ""P"" (EUR): (LU0167237972, 1%), GOLDMAN SACHS FUNDS ""A"" (EUR) A: (LU0396758384, 9%), JAMS JUPITER GOLD & SILVER ""I"" (USD) A: (IE00BYVJRD56, 4%), JANUS HENDERSON ABSOL ""H1"" (GBP) D: (LU1432398888, 9.12%), META FINANZAS, FI ""I"" (EUR): (ES0162382008, 2%)}"
DAXMeister,4.183391,"{BNP PARIBAS INSTICAS ""I"" (EUR) A: (LU0423949717, 1%), DWS INVEST GOLD AND PREC MET ""LC"" ACC: (LU0273159177, 10.84%), MAGNA MENA ""G"" (USD): (IE00BKRCMM42, 62%), MAINFIRST GERMANY ""R"" (EUR) ACC: (LU1004823719, 26.16%)}"
SAI,4.182127,"{ACACIA RENTA DINAMICA ""I"" (EUR): (ES0157935026, 20%), ACACIA RENTA DINAMICA ""R"" (EUR): (ES0157935042, 25%), ATHENEE FCP - ACACIA ""I"" (EUR): (ISIN no encontrado, 17%), ATHENEE FCP - ACACIA ""R"" (EUR): (ISIN no encontrado, 15%), FON FINECO GESTION FI (EUR): (ES0138382033, 13%), JPM USD MONEY MARKET ""A"" (USD): (LU0945454980, 1%), PICTET ULTRA SHORT TE ""I"" (EUR): (LU2009036927, 9%)}"
Covariantes,3.837628,"{ACACIA RENTA DINAMICA ""I"" (EUR): (ES0157935026, 31%), ACACIA RENTA DINAMICA ""R"" (EUR): (ES0157935042, 60%), JANUS HENDERSON GLOB ""A2"" (USD) G: (ISIN no encontrado, 9%)}"
2v,3.073406,"{ABRDN LIQUIDITY FUND ""I2"" (GBP) A: (LU0108940692, 1%), DNCA INVEST EUROSE ""A"" (USDHDG): (LU1278537623, 15.77%), MFS MERIDIAN PRUDENT WEALTH ""I1"" (EUR): (LU0583243455, 29.92%), UBAM DYNAMIC US DOLLAR BD ""I"" (USD): (LU0132661827, 9%), UBS (LUX) EQUITY SICA ""Q"" (USDHDG) A: (LU1240783776, 4.03%), UBS EU GR AND INC (EUR)""P"" (USDHDG): (LU1038902505, 40.28%)}"
ponzi,2.91003,"{BSF BLACKROCK SYSTEM ""D"" (EURHDG): (LU1593227850, 40%), JAMS JUPITER GOLD & SILVER ""L"" (EUR) A: (IE00BYVJR916, 10%), JPM USD MONEY MARKET ""A"" (USD): (LU0945454980, 1%), LAZARD RATHMORE ALTERNATIVE ""A"" (USD): (IE00BG1V1444, 30%), M&G (LUX) EURO ST VAL ""C"" (EUR): (LU1670707873, 10%), PICTET ULTRA SHORT TE ""I"" (EUR): (LU2009036927, 9%)}"
El Cojo de Wall Street,2.445148,"{ABRDN LIQUIDITY FUND ""I2"" (GBP) A: (LU0108940692, 1%), AMUNDI FUNDS US SHOR ""I2"" (USD): (ISIN no encontrado, 9%), DNB TMT LONG/SHORT EQ ""IA"" (USD): (ISIN no encontrado, 20%), FRANKLIN GOLD&PREC METAL ""A"" (USD): (LU0496367417, 15%), LAZARD RATHMORE ALTERNATIVE ""A"" (USD): (IE00BG1V1444, 40%), PICTET CHINA INDEX ""I"" (EUR): (LU0625737753, 15%)}"
,1.642562,"{BGF GLOBAL ALLOCATION ""A2"" (EUR): (LU0171283459, 50%), JPM GLOBAL NATURAL RESOURCES ""A"" D: (LU0208853514, 50%)}"
Sharpepinazo,0.0,"{BNP PARIBAS INSTICAS ""P"" (EUR): (LU0167237972, 1%), BNY MELLON ABS RET BD ""S"" (EUR): (IE00B706BP88, 10%), CARTESIO X: (ES0116567035, 10%), GOLDMAN SACHS FUNDS ""A"" (EUR): (LU0147323579, 4.5%), GROUPAMA ALPHA FIXED INCOME ""R"" (EUR): (ISIN no encontrado, 25%), JANUS HENDERSON ABSO ""A2"" (USD) B: (ISIN no encontrado, 15%), LAZARD RATHMORE ALTERNATIVE ""A"" (USD): (IE00BG1V1444, 20%), MUTUAFONDO FORTALEZA ""L"" (EUR): (ES0165145030, 10%), PICTET ULTRA SHORT TE ""P"" (EUR): (LU2009037065, 4.5%)}"
WallStreetSharks,0.0,"{BRANDES EUROPEAN VALUE ""I"" (EUR) ACC: (IE0031574977, 13%), DUNAS VALOR PRUDENTE ""I"" (EUR): (ES0175437039, 9%), DWS INVEST AFRICA ""NC"" (EUR) ACC: (LU0329759848, 13%), DWS INVEST GOLD AND PREC MET ""FC"" ACC: (LU0273148212, 13%), FIDELITY GERMANY ""Y: (ISIN no encontrado, 13%), FIDELITY GLOBAL DIV ""A"" (EUR) INC M (G): (LU0731782826, 13%), GVC GAESCO DIVIDEND F ""E"" (EUR): (ES0143631010, 13%), MAGALLANES IBERIAN EQ  ""M"" (EUR): (ES0159201013, 13%)}"
Carteristas,-0.235119,"{BNP PARIBAS INSTICAS ""P"" (EUR): (LU0167237972, 0.54%), BNY MELLON ABS RET BD ""S"" (EUR): (IE00B706BP88, 15.57%), CARTESIO X: (ES0116567035, 15.35%), GOLDMAN SACHS FUNDS ""A"" (EUR) A: (LU0396758384, 2.91%), GROUPAMA ALPHA FIXED INCOME ""R"" (EUR): (ISIN no encontrado, 15.81%), JANUS HENDERSON ABSO ""A2"" (USD) B: (ISIN no encontrado, 15.76%), LAZARD RATHMORE ALTERNATIVE ""A"" (USD): (IE00BG1V1444, 15.52%), MUTUAFONDO FORTALEZA ""L"" (EUR): (ES0165145030, 15.66%), PICTET ULTRA SHORT TE ""P"" (EUR): (LU2009037065, 2.88%)}"
A&F,-0.499828,"{B&H DEUDA, FI ""C"" (EUR): (ES0112618006, 1.8%), BLUEBAY INVESTMENT GR AR BD ""C"" (EUR): (LU0842207952, 9%), BNP PARIBAS INSTICAS ""I"" (EUR): (LU0094219127, 0.7%), BNY MELLON ABSOLUTE R ""W"" (EUR): (IE00BP4JQP45, 18%), DUNAS VALOR PRUDENTE ""I"" (EUR): (ES0175437039, 2.7%), JANUS HENDERSON ABSOL ""H2"" (USDHDG): (LU0995139341, 18%), LAZARD RATHMORE ALTER ""S"" (EURHDG): (IE00BKPLQQ52, 36%), PICTET SHORT TERM MONEY MKT(USD) ""I"" ACC: (LU0128497707, 0.15%), TIKEHAU SHORT DURATIO ""SF"" (EUR): (LU2098119287, 4.5%)}"
LIEP,-3.391793,"{BNY MELLON ABS RET BD ""T"" (GBPHDG): (IE00B8G10T17, 6%), BSF BLACKROCK SYSTEM ""D"" (USD): (LU1508158190, 6%), JANUS HENDERSON GLOB ""A2"" (USD) G: (ISIN no encontrado, 30%), LAZARD RATHMORE ALTERNATIVE ""A"" (USD): (IE00BG1V1444, 49%), UBAM DYNAMIC US DOLLAR BD ""I"" (USD): (LU0132661827, 9%)}"
